time,side,price,quantity
34411928192540,LiftAsk,5870000,5
34411928192540,LiftAsk,5870000,32
34412371675380,LiftAsk,5870000,100
34412642753141,LiftAsk,5870000,168
34412642753141,LiftAsk,5870000,32
34412715558063,LiftAsk,5870000,268
34412715558063,LiftAsk,5870000,48
34412716527048,LiftAsk,5870000,100
34412716662556,LiftAsk,5870000,200
34412734459576,LiftAsk,5870000,300
34412746044767,LiftAsk,5870000,89
34412809014401,LiftAsk,5870000,211
34412848443251,LiftAsk,5870600,100
34412849228377,HitBid,5870300,38
34412849244443,HitBid,5870300,16
34413110948686,LiftAsk,5870500,100
34414469894356,HitBid,5869800,1
34415956790293,HitBid,5869700,100
34416616432394,LiftAsk,5870700,67
34417360487937,HitBid,5871000,10
34419574849108,HitBid,5869500,1
34419577244245,HitBid,5869500,46
34419577244245,HitBid,5869200,3
34419577244245,HitBid,5868900,23
34419577244245,HitBid,5868900,27
34419596714125,HitBid,5868900,50
34419596714125,HitBid,5868200,100
34419596714125,HitBid,5868200,50
34419597707039,HitBid,5868200,50
34419597707039,HitBid,5867900,100
34419601235265,HitBid,5867100,185
34419601239595,HitBid,5867100,115
34419601255591,HitBid,5866900,100
34419601277670,HitBid,5866700,100
34419603585104,HitBid,5866700,100
34419603884029,HitBid,5866700,3
34419615316468,HitBid,5865900,200
34419615413166,HitBid,5865700,77
34419615499961,HitBid,5865700,23
34419730800977,LiftAsk,5863100,100
34419759666953,LiftAsk,5862100,59
34421410126543,LiftAsk,5867400,200
34421410262300,LiftAsk,5867400,14
34421628997807,LiftAsk,5867400,86
34421628997807,LiftAsk,5867400,100
34431102678691,LiftAsk,5867300,100
34431264284422,LiftAsk,5867300,100
34431502887693,LiftAsk,5867300,100
34432315563265,LiftAsk,5867300,100
34432400652270,LiftAsk,5867300,100
34433188644652,LiftAsk,5866700,100
34433190776110,LiftAsk,5866700,50
34434383577485,LiftAsk,5866700,1
34434876615651,LiftAsk,5866700,49
34436049706928,LiftAsk,5868200,12
34436810991181,LiftAsk,5868300,50
34437449952791,LiftAsk,5868300,200
34437450962764,LiftAsk,5868300,50
34437450962764,LiftAsk,5868300,11
34437450962764,LiftAsk,5868300,139
34437451332730,LiftAsk,5868300,111
34437468499076,HitBid,5868100,100
34438320552179,HitBid,5867700,100
34438366432540,LiftAsk,5868000,100
34438366432540,LiftAsk,5868100,100
34438366432540,LiftAsk,5868300,50
34438366432540,LiftAsk,5868300,300
34438366432540,LiftAsk,5868600,201
34438375534146,LiftAsk,5868600,100
34439500250275,LiftAsk,5868600,150
34439589222665,LiftAsk,5868600,100
34439601142984,LiftAsk,5868600,449
34440460414455,LiftAsk,5869500,3
34440460414455,LiftAsk,5869800,97
34440465557069,LiftAsk,5869900,250
34440465557069,LiftAsk,5869900,10
34440465557069,LiftAsk,5869900,40
34441524003543,HitBid,5870400,37
34441877228669,HitBid,5870600,100
34441877228669,HitBid,5870200,71
34441877240558,HitBid,5870200,43
34441877367643,HitBid,5870200,57
34442360234073,LiftAsk,5870900,5
34444144791982,LiftAsk,5871300,8
34444146306226,LiftAsk,5871300,92
34444191055864,LiftAsk,5872200,10
34444199441172,LiftAsk,5872200,100
34444894441635,LiftAsk,5872200,200
34444990000466,LiftAsk,5872200,300
34444990067614,LiftAsk,5872200,390
34445157534154,LiftAsk,5872500,10
34445304352407,LiftAsk,5872500,100
34445496693578,LiftAsk,5872500,90
34445531025001,LiftAsk,5872700,200
34445531225483,LiftAsk,5872800,470
34446827568792,LiftAsk,5874100,40
34447704340375,LiftAsk,5874100,60
