time,bid_price,ask_price
35732649525822,5859100,5861900
35732948624404,5858900,5861900
35733266852223,5859000,5861900
35733267968759,5859000,5862000
35733268126079,5862000,5862100
35733268211688,5859000,5862100
35733268223173,5859000,5862000
35733268266301,5858900,5862000
35733268991713,5858900,5861900
35733275754595,5860000,5861900
35734616332403,5860100,5861900
35735085233116,5860200,5861900
35735085269287,5860200,5862300
35735638189705,5860200,5862100
35735638307264,5860100,5862100
35735691185504,5860100,5861800
35736385419298,5860100,5861900
35736385424415,5860100,5862300
35736696941254,5860100,5862000
35738488782561,5860200,5862000
35738830192799,5860100,5862000
35740948700046,5860300,5862000
35741074921032,5860100,5862000
35742128985941,5860400,5862000
35744112186586,5860100,5862000
35744534573148,5860000,5862000
35744740677544,5860000,5861900
35750031760707,5860000,5861800
35750034421522,5860000,5861700
35750034462482,5860000,5861500
35750083546672,5858900,5861500
35750083627331,5858900,5861400
35750136219170,5860500,5861400
35750136399325,5858900,5861400
35750136484354,5858900,5861300
35750136505837,5859000,5861300
35750292542060,5858900,5861300
35750490257894,5858900,5861900
35750555399554,5858900,5861300
35750813754450,5858900,5861000
35751113119496,5859200,5861000
35751113241335,5859200,5861100
35751113242354,5859200,5861200
35751113255385,5859200,5861300
35751147594904,5859200,5861000
35751900369384,5858900,5861000
35751900395281,5858900,5861300
35752117196501,5858900,5860900
35753477046600,5858900,5859800
35753478964386,5858900,5860900
35753480557625,5858900,5860700
35755678388343,5858100,5860700
35755678477921,5858100,5860300
35755687555493,5858000,5860300
35755687636598,5858000,5860200
35755687712769,5858000,5860100
35755693696405,5857900,5860100
35755693775479,5857900,5860000
35755698804569,5857600,5860000
35755698882762,5857600,5859900
35755698992032,5857300,5859900
35755699634184,5857400,5859900
35755904360535,5857700,5859900
35755906066387,5857700,5859600
35756023388515,5857400,5859600
35756023396680,5857400,5859700
35756023397208,5857400,5859800
35756023414792,5857400,5859900
35756023604052,5857100,5859900
35756053282246,5857100,5860100
35756777894846,5857400,5860100
35756939809949,5857100,5860100
35756998629295,5857700,5860100
35757127367135,5857700,5860000
35757139038304,5857100,5860000
35757166839421,5857700,5860000
35757393583856,5857800,5860000
35757393675838,5857800,5860100
35757669371611,5857800,5859900
35758827188635,5857800,5859600
35759056319242,5857800,5859900
35759214064437,5857800,5859600
35759477052503,5857800,5859700
35759477057264,5857800,5859800
35759480759533,5857800,5859600
35759630780513,5857800,5859700
35759630781206,5857800,5859800
35760790708305,5858000,5859800
35760959198187,5858300,5859800
35761041769287,5858300,5860100
35761043291429,5858300,5860500
35761931728020,5857800,5860500
35762025747391,5858100,5860500
35762434384869,5857800,5860500
35763119201765,5858200,5860500
35763707109175,5858300,5860500
35763752042341,5858300,5860100
35764414723764,5858200,5860100
35765441253373,5858200,5860500
35766097809209,5858300,5860500
35766508891051,5858600,5860500
35767058567766,5858300,5860500
35768902907119,5858300,5860400
35768945591319,5858600,5860400
35769039275920,5858600,5860300
35769040014935,5858600,5860400
35769071237189,5858600,5860200
35769071321585,5858300,5860200
35769071937961,5858300,5860400
35769101754512,5858300,5860200
35769102608836,5858300,5860400
35769133931879,5858300,5860200
35769134791427,5858300,5860400
35769164687785,5858300,5860200
35769165410133,5858300,5860400
35769194825131,5858300,5860200
35769195663552,5858300,5860400
35769226700970,5858300,5860200
35769227509537,5858300,5860400
35769257703090,5858300,5860200
35769258563266,5858300,5860400
35769288903469,5858300,5860200
35769289761782,5858300,5860400
35769320720588,5858300,5860200
35769321578529,5858300,5860400
35769351722972,5858300,5860200
35769352580507,5858300,5860400
35769384724764,5858300,5860200
35769385588040,5858300,5860400
35769417730168,5858300,5860200
35769418574489,5858300,5860400
35769450736031,5858300,5860200
35769451425076,5858300,5860400
35769483872998,5858300,5860200
35769484597316,5858300,5860400
35769515774554,5858300,5860200
35769516512184,5858300,5860400
35769553757096,5858300,5860200
35769554610482,5858300,5860400
35769585755024,5858300,5860200
35769586561340,5858300,5860400
35769620953287,5858300,5860200
35769621662034,5858300,5860400
35769651827365,5858300,5860200
35769652512256,5858300,5860400
35769686654385,5858300,5860200
35769687343091,5858300,5860400
35769718816572,5858300,5860200
35769719537454,5858300,5860400
35769750767919,5858300,5860200
35769751603319,5858300,5860400
35769782664316,5858300,5860200
35769783361973,5858300,5860400
35769817784194,5858300,5860200
35769818487317,5858300,5860400
35769850787105,5858300,5860200
35769851494909,5858300,5860400
35769884000833,5858300,5860200
35769884710403,5858300,5860400
35769916827687,5858300,5860200
35769917525460,5858300,5860400
35769947961285,5858300,5860200
35769948679003,5858300,5860400
35769980815255,5858300,5860200
35769981519959,5858300,5860400
35770012839619,5858300,5860200
35770013550730,5858300,5860400
35770047834315,5858300,5860200
35770048545668,5858300,5860400
35770080814090,5858300,5860200
35770081527786,5858300,5860400
35770110808058,5858300,5860200
35770111511148,5858300,5860400
35770140844531,5858300,5860200
35770141602276,5858300,5860400
35770171821148,5858300,5860200
35770172672147,5858300,5860400
35770203900589,5858600,5860400
35770205821135,5858600,5860200
35770206665849,5858600,5860400
35770238911607,5858600,5860200
35770239756794,5858600,5860400
35770272443105,5858600,5860200
35770273122538,5858600,5860400
35770303843059,5858600,5860200
35770304547911,5858600,5860400
35770334867470,5858600,5860200
35770334950021,5858300,5860200
35770335730405,5858300,5860400
35770366850418,5858300,5860200
35770367536393,5858300,5860400
35770399857671,5858300,5860200
35770400582832,5858300,5860400
35770431589389,5858300,5860200
35770432457399,5858300,5860400
35770464861268,5858300,5860200
35770465589986,5858300,5860400
35770498991734,5858300,5860200
35770499730317,5858300,5860400
35770531186539,5858300,5860200
35770531880631,5858300,5860400
35770568291151,5858300,5860200
35770569165709,5858300,5860400
35770600356599,5858300,5860200
35770601135812,5858300,5860400
35770634921701,5858300,5860200
35770635628349,5858300,5860400
35770665885235,5858300,5860200
35770666590159,5858300,5860400
35770698937487,5858300,5860200
35770699773844,5858300,5860400
35770730901290,5858300,5860200
35770731758636,5858300,5860400
35770761894540,5858300,5860200
35770762585642,5858300,5860400
35770791913849,5858300,5860200
35770792628366,5858300,5860400
35770823355294,5858300,5860200
35770824105276,5858300,5860400
35770854911857,5858300,5860200
35770855699546,5858300,5860400
35770890401570,5858300,5860200
35770891102420,5858300,5860400
35770925915047,5858300,5860200
35770926604467,5858300,5860400
35770957921067,5858300,5860200
35770958780523,5858300,5860400
35770989950579,5858300,5860200
35770990634246,5858300,5860400
35771020934193,5858300,5860200
35771021749414,5858300,5860400
35771052944471,5858300,5860200
35771053630207,5858300,5860400
35771059667939,5858300,5860200
35771066536864,5858300,5860400
35771067202985,5858300,5860200
35771923733050,5858600,5860200
35772041700594,5858300,5860200
35773725268692,5858600,5860200
35773873174053,5858600,5860100
35773873277011,5858300,5860100
35774097395682,5858300,5860200
35774199819727,5858600,5860200
35774946081748,5858300,5860200
35775153055631,5858300,5859900
35775575980903,5858300,5859300
35776567442337,5858200,5859300
35776567873524,5857800,5859300
35776567983949,5857800,5859100
35776928269572,5857800,5859300
35778677225545,5857800,5859200
35780842733806,5857800,5860200
35780842854274,5857800,5860100
35780848528229,5857800,5860000
35784261080129,5857800,5859800
35784263811755,5857800,5859500
35784739631265,5857800,5859800
35784739646402,5857800,5859900
35788405028861,5857800,5859700
35788528506726,5857800,5859200
35789120213700,5857900,5859200
35789564681233,5858000,5859200
35790316486735,5858000,5859900
35791679106909,5858000,5860200
35791679195079,5858600,5860200
35791679699687,5858600,5860700
35791680354435,5858600,5860300
35791682025219,5858600,5860700
35791682520061,5858600,5861300
35791682727158,5858600,5860400
35791684542601,5858600,5861300
35791684614648,5858700,5861300
35791684658674,5858700,5861200
35791685427552,5858700,5860500
35791686724082,5858700,5860700
35792042260435,5858000,5860700
35792962483361,5858600,5860700
35794004212827,5858700,5860700
35794011152842,5859000,5860700
35794193824427,5859000,5860600
35794194157913,5858800,5860600
35794194244236,5858800,5860500
35794194291527,5858000,5860500
35794194398459,5858000,5860400
35794230477278,5858000,5860100
35794358822034,5858000,5860300
35794358839993,5858000,5860500
35794536061446,5858000,5860200
35794695852248,5858000,5860500
